Saldos em Estoque,,,,,,,,,,,,
CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ,SALDO EM ESTOQUE,EMPENHO PARA REQ/PV/RESERVA,ESTOQUE DISPONIVEL,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM
9120121410,MP,MP03,"CINTA PARA FIXACAO DO AP, KIT SUPRENS",KT,10108,30,"90,00",-,"90,00","7.524,79",-,PROJETO COPEL FASE 2
9120121410,MP,MP03,"CINTA PARA FIXACAO DO AP, KIT SUPRENS",KT,10108,31,"142,00",-,"142,00","7.881,01",-,PROJETO COPEL FASE 1
3042303700,MP,MP03,TRILHO DIN 35MM PERFURADO,MT,10108,28,30,-,30,"95,85",-,CDS PROJECTS ENERGY
8010300790,MP,MP09,"CABO SOLAR 1,8 KV CC PRETO",MT,10108,28,"1.300,00",-,"1.300,00","3.549,26",-,CDS PROJECTS ENERGY
9110241601,RV,RV01,FITA DE ACO - LISA 1/2 FUSIMEC,MT,10108,28,155,-,155,"169,57",-,CDS PROJECTS ENERGY
9110241601,RV,RV01,FITA DE ACO - LISA 1/2 FUSIMEC,MT,10108,30,425,-,425,"740,61",-,PROJETO COPEL FASE 2
9110241601,RV,RV01,FITA DE ACO - LISA 1/2 FUSIMEC,MT,10108,32,840,-,840,"1.526,70",-,PROJETO CELESC
9110714100,MP,MP03,"CABO FLEXIVEL 1,5MM² - CLASSE TEMP 70° - VERMELHO",MT,10108,31,"1.100,00",-,"1.100,00","1.458,71",-,PROJETO COPEL FASE 1
9110714103,MP,MP03,"CABO FLEXIVEL 1,5MM² - CLASSE TEMP 70° - AZUL",MT,10108,31,400,-,400,"530,44",-,PROJETO COPEL FASE 1
9111530000,MP,MP05,CABO COBRE 35 MM² 1KV NA COR PRETO,MT,10108,28,"16,2",-,"16,2","427,5",-,CDS PROJECTS ENERGY
9111530001,MP,MP05,CABO COBRE 35 MM² 1KV NA COR VERMELHO,MT,10108,28,"16,2",-,"16,2","428,04",-,CDS PROJECTS ENERGY
9111620200,RV,RV01,FITA ISOLANTE ALTA FUSAO,MT,10108,28,18,-,18,"151,86",-,CDS PROJECTS ENERGY
9111620200,RV,RV01,FITA ISOLANTE ALTA FUSAO,MT,10108,30,400,-,400,"819,52",-,PROJETO COPEL FASE 2
9111620200,RV,RV01,FITA ISOLANTE ALTA FUSAO,MT,10108,32,20,-,20,"399,41",-,PROJETO CELESC
9120690502,RV,RV01,"CABO COBRE COBERTO XLPE 90G 15KV 1X 16,00 MM2 CINZA",MT,10108,30,120,-,120,"3.375,90",-,PROJETO COPEL FASE 2
9120690508,RV,RV01,ADAPTADOR ESTRIBO PARAFUSO PARA CABO DE CU NU 16-50 MM²,MT,10108,30,20,-,20,"2.112,22",-,PROJETO COPEL FASE 2
9120692197,RV,RV01,CABO ETHERNET CAT5E BLINDADO,MT,10108,30,"1.092,00",-,"1.092,00","4.565,11",-,PROJETO COPEL FASE 2
9120692803,MP,MP07,"CABO PP 2X1,5 MM2, PRETO E VERMELHO",MT,10108,31,"1.000,00",-,"1.000,00","3.144,10",-,PROJETO COPEL FASE 1
9120692804,MP,MP07,CABO FLEXIVEL 1.5 VERDE/AMARELO,MT,10108,30,100,-,100,"127,62",-,PROJETO COPEL FASE 2
9120692804,MP,MP07,CABO FLEXIVEL 1.5 VERDE/AMARELO,MT,10108,31,"2.000,00",-,"2.000,00","2.652,20",-,PROJETO COPEL FASE 1
9120692940,RV,RV01,FIO DE ESPINAR DIELETRICO ARAMIDA 2MM,MT,10108,30,"10.904,11",-,"10.904,11","2.204,81",-,PROJETO COPEL FASE 2
9120692955,RV,RV01,"HASTE DE ATERRAMENTO ACO - COBRE 2,40 M",MT,10108,30,10,-,10,"836,10",-,PROJETO COPEL FASE 2
9120694050,RV,RV01,CABO COAXIAL 7/8 - CABO LCF 78-50JA COBRE RFS,MT,10108,30,350,-,350,"46.722,31",-,PROJETO COPEL FASE 2
9120694051,MP,MP08,CABO COAXIAL LMR 400,MT,10108,30,200,-,200,"7.683,22",-,PROJETO COPEL FASE 2
9120694059,MP,MP07,"CABO COAXIAL 1/2"""" - CABO LCF 12-50JA COBRE RFS",MT,10108,30,"235,00",-,"235,00","15.201,42",-,PROJETO COPEL FASE 2
9120694059,MP,MP07,"CABO COAXIAL 1/2"""" - CABO LCF 12-50JA COBRE RFS",MT,10108,32,"230,00",-,"230,00","16.974,02",-,PROJETO CELESC
9120821321,MP,MP03,ELETRODUTO SUBTERRANEO CORRUGADO FLEXIVEL 1 POLEGADA,MT,10108,28,"70,00",-,"70,00","96,63",-,CDS PROJECTS ENERGY
9120892533,MC,PV01,CABO DE REDE CAT5 COM 4 PARES 24 AWG DE DUPLA CAPA BLINDADO PRETO,MT,10108,28,"176,00",-,"176,00","834,79",-,CDS PROJECTS ENERGY
9121260800,MP,MP07,"CABO FLEXIVEL CL4 1KV HEPR 90°C VEIAS COLOR. PT 3 X 2,5MM",MT,10108,28,301,120,181,"1.116,95","445,3",CDS PROJECTS ENERGY
9121260801,MP,MP07,CABO FLEXIVEL 1KV SIL PT 3 X 4MM,MT,10108,28,90,120,-30,"798,69","1.064,92",CDS PROJECTS ENERGY
9121280000,MP,MP07,"CABO MULTINAX FLEX 2X1,50 MM² HEPR 90 ºC 0,6/1 KV",MT,10108,32,150,-,150,"611,48",-,PROJETO CELESC
9121280002,MP,MP07,CABO FLEXIVEL 4MM² 1KV VERDE,MT,10108,32,"167,114",-,"167,114","687,12",-,PROJETO CELESC
9121290202,MP,MP07,"CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR PRETO",MT,10108,28,261,-,261,"960,48",-,CDS PROJECTS ENERGY
9121290203,MP,MP07,"CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR VERMELHO",MT,10108,28,261,-,261,"960,48",-,CDS PROJECTS ENERGY
9121290222,MP,MP07,CABO COBRE 1 X 6MM² ISOLACAO 1 KV 90°C - COR VERDE COM AMARELO,MT,10108,28,360,-,360,"1.705,46",-,CDS PROJECTS ENERGY
9121500218,RV,RV01,CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO,MT,10108,7,"55.634,00",-,"55.634,00","191.597,93",-,LIVOLTEK - VENDAS
9121500219,RV,RV01,CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO,MT,10108,7,"55.634,00",-,"55.634,00","191.597,93",-,LIVOLTEK - VENDAS
9121502100,RV,RV01,CABO COBRE NU 50MM²,MT,10108,32,16,-,16,"421,4",-,PROJETO CELESC
9190772302,MP,MP07,"CABO FLEXIVEL DE 1,5 MM² - COR PRETO",MT,10108,31,770,-,770,"1.247,09",-,PROJETO COPEL FASE 1
9190772302,MP,MP07,"CABO FLEXIVEL DE 1,5 MM² - COR PRETO",MT,10108,32,"100,00",-,"100,00","128,80",-,PROJETO CELESC
9191270416,MC,MR01,CABO DE ALUMINIO MULTIPLEXADO DUPLEX 2X16MM,MT,10108,32,"1.000,00",-,"1.000,00","4.290,00",-,PROJETO CELESC
9191270787,MC,MR01,"BORRACHA TIPO ""U"" 8X6X1,5MM",MT,10108,31,"3.200,00",-,"3.200,00","7.548,16",-,PROJETO COPEL FASE 1
9191270787,MC,MR01,"BORRACHA TIPO ""U"" 8X6X1,5MM",MT,10108,32,"8.400,00",-,"8.400,00","17.290,56",-,PROJETO CELESC
9191271234,MC,PV01,CABO CAT6,MT,10108,32,100,-,100,"406,59",-,PROJETO CELESC
9192219664,MC,MR01,"CABO 10MM² DE COBRE ANTICHAMA RIGIDO, PVC 450/750V, NBR NM 247-3, CLASSE 1, PRETO",MT,10108,30,"3.000,00",-,"3.000,00","22.935,60",-,PROJETO COPEL FASE 2
9192220084,MC,MR01,"CABO DE ACO COBREADO P/ ATERRAMENTO BIMETALICO 50MM², 7 FIOS - 53% IACS",MT,10108,32,"1.000,00",-,"1.000,00","45.452,30",-,PROJETO CELESC
3012002410,MC,PV01,PARTE DO CARREGADOR MOTION FAST DC; DISJUNTOR DE CORRENTE RESIDUAL CAIXA MOLDADA TRIPOLAR; 250A; 30MA; TIPO A,PC,10108,7,21,-,21,"18.982,91",-,LIVOLTEK - VENDAS
9120690106,MP,MP04,ABRACADEIRA PLASTICA NYLON 300 MM X 8 MM BRANCA,PC,10108,28,620,-,620,"145,76",-,CDS PROJECTS ENERGY
9120694040,MP,MP07,MINIDISJUNTOR UNIPOLAR 3KA CURVA C 20A,PC,10108,28,3,-,3,"18,12",-,CDS PROJECTS ENERGY
9120694041,MP,MP07,MINIDISJUNTOR UNIPOLAR 3KA CURVA C 10A,PC,10108,28,25,6,19,"125,76","30,18",CDS PROJECTS ENERGY
9120694045,MP,MP07,DISJUNTOR BIPOLAR PARA CORRENTE CONTINUA 20A,PC,10108,28,34,-,34,"2.239,31",-,CDS PROJECTS ENERGY
9120901014,MP,MP08,POSTE FINAL BORNE K SKEW35,PC,10108,28,16,-,16,"11,03",-,CDS PROJECTS ENERGY
9121260606,MP,MP03,"TERMINAL TUBULAR ILHOS DUPLO 2,5MM",PC,10108,28,10,-,10,"3,67",-,CDS PROJECTS ENERGY
9121260622,MP,MP03,BARRAMENTO TIPO ALCA COM 8 PARAFUSOS M + 2 PARAFUSO M8,PC,10108,28,27,-,27,"224,93",-,CDS PROJECTS ENERGY
9121290240,MP,MP07,QUADRO DE DISTRIBUICAO EM PVC DE CIRCUITO ELETRICO DO TIPO SOBREPOR PARA ATE 4 DISJUNTORES COM TRILHO DIN,PC,10108,28,31,6,25,"259,95","50,31",CDS PROJECTS ENERGY
9121290290,MP,MP07,"HASTE TERRA S/ROS.BR.IH-858 5/8' X 2,4 0 MTS",PC,10108,28,22,-,22,"607,49",-,CDS PROJECTS ENERGY
9130109100,MP,MP08,PROTETOR SURTO DPS SOLAR 1040V 40KA,PC,10108,28,8,-,8,"453,87",-,CDS PROJECTS ENERGY
9191270789,MC,MR01,CHAPA DE ACRILICO TRANSPARENTE 1200X1000X3MM,PC,10108,32,348,-,348,"98.409,49",-,PROJETO CELESC
B1U2ME2E0M5SR12004,MC,RV01,"CARREGADOR VE LIVOLTEK CA BUSH SERIES 2X22 KW; 230VAC;CABO 5M; BLUETOOTH; 4G; ETHERNET; RFID; CABO 2XTIPO 2 """,PC,10108,8,1,-,1,"4.930,40",-,LIVOLTEK - WARRANTY
C03010E1EAFDR11003,RV,RV01,CARREGADOR VE LIVOLTEK CC MOTION COMPACT 30 KW; 400VAC;CABO 5M; 100 A; RFID; ETHERNET; 4G; CABO 1XCCS2,PC,10108,7,12,-,12,"178.527,43",-,LIVOLTEK - VENDAS
C06010E2EAFGR11003,MC,RV01,CARREGADOR VEICULAR | LIVOLTEK | CC 60KW | MC | 200A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS,PC,10108,7,9,-,9,"253.631,30",-,LIVOLTEK - VENDAS
M16010E2GYGHR11001,RV,RV01,CARREGADOR VEICULAR | CC 160KW | MSF | 300A | 2XGB/T | RFID | ETH | 4G | LIVOLTEK,PC,10108,7,1,-,1,"49.325,09",-,LIVOLTEK - VENDAS
M18010E2EYFIR11003,MC,RV01,CARREGADOR VEICULAR | LIVOLTEK | CC 180KW | MF | 300A | 2XCCS2 | GESTAO DE CABOS | 4G (LATAM) | PPOS | ACE30,PC,10108,7,28,-,28,"2.148.702,14",-,LIVOLTEK - VENDAS
M24010E2EYGIR11003,MC,RV01,CARREGADOR VEICULAR | LIVOLTEK | CC 30KW | MC | 100A | 1XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS,PC,10108,7,17,-,17,"1.784.763,75",-,LIVOLTEK - VENDAS
2080501810,MP,MP08,MODULO DE COMUNICACAO RFID MT626,UN,10108,7,4,-,4,"119,35",-,LIVOLTEK - VENDAS
2080703060,MP,MP08,FONTE CHAVEADA (CONVERSOR ESTATICO) PARA CONVERSAO DE CORRENTE ALTERNADA EM CC. DC;AC/DC DC24V:5A(2080703060),UN,10108,7,8,-,8,"821,87",-,LIVOLTEK - VENDAS
2080703070,MP,MP08,FONTE CHAVEADA (CONVERSOR ESTATICO) PARA CONVERSAO DE CORRENTE ALTERNADA EM CC; AC/DC DC12V:12.5A(2080703070),UN,10108,7,"4,00",-,"4,00","295,15",-,LIVOLTEK - VENDAS
2080703080,MP,MP08,FONTE CHAVEADA (CONVERSOR ESTATICO) PARA CONVERSAO DE CORRENTE ALTERNADA EM CC;AC/DC DC24V:6.3A(2080703080),UN,10108,7,"4,00",-,"4,00","349,13",-,LIVOLTEK - VENDAS
2080900460,MP,MP08,DISPOSITIVO MICROCONTROLADOR TCU PCB;THE CONTROL SCREEN DISPLAYS AND CONNECTS TO THE OCPP PLATFORM;185MM*141MM*30MM;ROHS,UN,10108,7,1,-,1,"1.344,97",-,LIVOLTEK - VENDAS
2090700481,MP,MP07,"INTERRUPTOR, CHAVE FIM DE CURSO PARA UMA TENSAO NAO SUPERIOR A 1000V; 4.8MM±0.38MM;58.8*33*17.5MM",UN,10108,7,"12,00",-,"12,00","78,45",-,LIVOLTEK - VENDAS
2120500010,MP,MP08,PAINEL INDICADOR COM DISPOSITIVOS DE CRISTAIS LIQUIDOS (LCD); DC12V;-20-+70?;1280*800;/;LVDS(18 BITS);308*228*45.8MM,UN,10108,7,4,-,4,"3.372,37",-,LIVOLTEK - VENDAS
2140100451,MP,MP08,ANTENA DE COMUNICACAO POR RADIOFREQUENCIA (2M) (2140100451),UN,10108,31,"4.270,00",-,"4.270,00","29.041,55",-,PROJETO COPEL FASE 1
2140102360,MP,MP08,ANTENA DE COMUNICACAO 3G/4G (2140102360),UN,10108,28,12,-,12,"333,28",-,CDS PROJECTS ENERGY
2140102360,MP,MP08,ANTENA DE COMUNICACAO 3G/4G (2140102360),UN,10108,32,62,-,62,"9.644,52",-,PROJETO CELESC
2140102370,MP,MP08,ANTENA DE COMUNICACAO 2.4GHZ (2140102370),UN,10108,28,10,-,10,"129,48",-,CDS PROJECTS ENERGY
2140102660,MP,MP08,ANTENA DE COMUNICACAO GPRS (2140102660),UN,10108,28,12,-,12,"133,40",-,CDS PROJECTS ENERGY
2140102790,MP,MP03,"ARRUELA DENTADA Ø10,2*1.0MM - LATAO BANHADO A OURO (2140102790)",UN,10108,31,"4.690,00",-,"4.690,00","445,08",-,PROJETO COPEL FASE 1
2140103220,MP,MP08,ANTENA DE FIBRA DE VIDRO (2140103220),UN,10108,28,12,-,12,"143,62",-,CDS PROJECTS ENERGY
2140103240,MP,MP08,ANTENA FRP N (ZK) 902-928MHZ - 2DBI L285MM (2140103240),UN,10108,28,98,-,98,"1.318,51",-,CDS PROJECTS ENERGY
2140103890,MP,MP08,ANTENA DE COMUNICACAO 4G: SMA WIFI: WIFI: 2.5DBI 4G: 4.5DBI;50O;F46*26MM;2000±30MM;F46*2000MM; ROHS,UN,10108,7,4,-,4,"31,93",-,LIVOLTEK - VENDAS
