CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ, SALDO EM ESTOQUE , EMPENHO PARA REQ/PV/RESERVA , ESTOQUE DISPONIVEL ,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM,CÓDIGO TOP MANAGER,Armazém Dashboard,Categoria,Família,Nomenclatura
9121500218,RV,RV01,CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO,MT,10108,7,  55.634 , - ,  55.634 ,"R$ 191.597,93",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - CABO,CABO FOTOVOLTAICO VERMELHO: 6MM2
9121500219,RV,RV01,CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO,MT,10108,7,  55.634 , - ,  55.634 ,"R$ 191.597,93",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,KIT SOLAR - CABO,CABO FOTOVOLTAICO PRETO: 6MM2
3012002410,MC,PV01,PARTE DO CARREGADOR MOTION FAST DC; DISJUNTOR DE CORRENTE RESIDUAL CAIXA MOLDADA TRIPOLAR; 250A; 30MA; TIPO A,PC,10108,7,  21 , - ,  21 ,"R$ 18.982,91",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,DIVERSOS,PARTE DO CARREGADOR MOTION FAST DC; DISJUNTOR DE CORRENTE RESIDUAL CAIXA MOLDADA TRIPOLAR; 250A; 30MA; TIPO A
C03010E1EAFDR11003,RV,RV01,CARREGADOR VE LIVOLTEK CC MOTION COMPACT 30 KW; 400VAC;CABO 5M; 100 A; RFID; ETHERNET; 4G; CABO 1XCCS2,PC,10108,7,  12 , - ,  12 ,"R$ 178.527,43",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 30kW,CARREGADOR CC MOTION COMPACT 30 KW
C06010E2EAFGR11003,MC,RV01,CARREGADOR VEICULAR | LIVOLTEK | CC 60KW | MC | 200A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS,PC,10108,7,  9 , - ,  9 ,"R$ 253.631,30",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 40kW,CARREGADOR VEICULAR | LIVOLTEK | CC 60KW | MC | 200A | 2XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS
M16010E2GYGHR11001,RV,RV01,CARREGADOR VEICULAR | CC 160KW | MSF | 300A | 2XGB/T | RFID | ETH | 4G | LIVOLTEK,PC,10108,7,  1 , - ,  1 ,"R$ 49.325,09",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 160kW,CARREGADOR VEICULAR | CC 160KW | MSF | 300A | 2XGB/T | RFID | ETH | 4G | LIVOLTEK
M18010E2EYFIR11003,MC,RV01,CARREGADOR VEICULAR | LIVOLTEK | CC 180KW | MF | 300A | 2XCCS2 | GESTAO DE CABOS | 4G (LATAM) | PPOS | ACE30,PC,10108,7,  28 , - ,  28 ,"R$ 2.148.702,14",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 180kW,CARREGADOR VEICULAR | LIVOLTEK | CC 180KW | MF | 300A | 2XCCS2 | GESTAO DE CABOS | 4G (LATAM) | PPOS | ACE30
M24010E2EYGIR11003,MC,RV01,CARREGADOR VEICULAR | LIVOLTEK | CC 30KW | MC | 100A | 1XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS,PC,10108,7,  17 , - ,  17 ,"R$ 1.784.763,75",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR 240kW,CARREGADOR VEICULAR | LIVOLTEK | CC 30KW | MC | 100A | 1XCCS2 | WALL-MOUNT | 4G (LATAM) | PPOS
2080501810,MP,MP08,MODULO DE COMUNICACAO RFID MT626,UN,10108,7,  4 , - ,  4 ,"R$ 119,35",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),PRODUTO,CARREGADOR - MÓDULO,MODULO DE COMUNICACAO RFID MT626
2080703060,MP,MP08,FONTE CHAVEADA (CONVERSOR ESTATICO) PARA CONVERSAO DE CORRENTE ALTERNADA EM CC. DC;AC/DC DC24V:5A(2080703060),UN,10108,7,  8 , - ,  8 ,"R$ 821,87",-,LIVOLTEK - VENDAS,,Curitiba (Eletra),,DIVERSOS,FONTE CHAVEADA (CONVERSOR ESTATICO) PARA CONVERSAO DE CORRENTE ALTERNADA EM CC. DC;AC/DC DC24V:5A(2080703060)
