Saldos em Estoque,,,,,,,,,,,,
CODIGO,TP,GRUPO,DESCRICAO,U.M.,FL,ARMZ,SALDO EM ESTOQUE,EMPENHO PARA REQ/PV/RESERVA,ESTOQUE DISPONIVEL,VALOR EM ESTOQUE,VALOR EMPENHADO,DESCRICAO DO ARMAZEM
9121260611,MP,MP03,TERMINAL TUBULAR ILHOS PRE-ISOLADO 6MM,CT,10102,7,"1.180,00",-,"1.180,00",257,-,LIVOLTEK - VENDAS
9110914119,PI,MP05,POLICARBONATO SEM FIBRA PRETO - EXTRUSADO,KG,10102,1,"18.984,00",-,"18.984,00","56.412,85",-,ARMAZEM PADRAO
9110914119,PI,MP05,POLICARBONATO SEM FIBRA PRETO - EXTRUSADO,KG,10102,70,"1.000,00",-,"1.000,00","2.971,60",-,PRODUCAO
9190132502,EM,CS03,FILME POLIESTER ESTICAVEL STRAWRAP 25 MICRAS 500MM (BOBINA COM 5KG),KG,10102,7,"360,00",-,"360,00","3.420,47",-,LIVOLTEK - VENDAS
3042303700,MP,MP03,TRILHO DIN 35MM PERFURADO,MT,10102,7,"570,00",-,"570,00","2.916,46",-,LIVOLTEK - VENDAS
3090601900,MP,MP07,"CABO DE 4 NUCLEOS, SAIDA DE PULSO 4*0,3MM(3090601900).",MT,10102,1,"337.500,00",-,"337.500,00","799.706,25",-,ARMAZEM PADRAO
8010300790,MP,MP09,"CABO SOLAR 1,8 KV CC PRETO",MT,10102,7,"1.720,00",-,"1.720,00","4.447,92",-,LIVOLTEK - VENDAS
9110913000,EM,CS03,FITA DE POLIESTER,MT,10102,7,"24.000,00",-,"24.000,00","4.651,20",-,LIVOLTEK - VENDAS
9120821321,MP,MP03,ELETRODUTO SUBTERRANEO CORRUGADO FLEXIVEL 1 POLEGADA,MT,10102,7,6,-,6,"8,99",-,LIVOLTEK - VENDAS
9121260800,MP,MP07,"CABO FLEXIVEL CL4 1KV HEPR 90°C VEIAS COLOR. PT 3 X 2,5MM",MT,10102,7,"10.593,00",97,"10.496,00","59.478,64","544,65",LIVOLTEK - VENDAS
9121260801,MP,MP07,CABO FLEXIVEL 1KV SIL PT 3 X 4MM,MT,10102,7,"6.711,00",-,"6.711,00","59.245,38",-,LIVOLTEK - VENDAS
9121290202,MP,MP07,"CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR PRETO",MT,10102,7,85,-,85,"288,80",-,LIVOLTEK - VENDAS
9121290203,MP,MP07,"CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR VERMELHO",MT,10102,7,85,-,85,"288,80",-,LIVOLTEK - VENDAS
9121290220,MP,MP07,"CABRNAX 90°C 1KV 4,0MM AZUL BB",MT,10102,7,"1.744,00",-,"1.744,00","4.642,53",-,LIVOLTEK - VENDAS
9121290221,MP,MP07,"CABRNAX 90°C 1KV 4,0MM PRETO BB",MT,10102,7,737,-,737,"1.999,33",-,LIVOLTEK - VENDAS
9121290222,MP,MP07,CABO COBRE 1 X 6MM² ISOLACAO 1 KV 90°C - COR VERDE COM AMARELO,MT,10102,7,"243,00",-,"243,00","1.072,16",-,LIVOLTEK - VENDAS
9121290223,MP,MP07,"CABRNAX 90°C 1KV 16,0MM VERMELHO BB",MT,10102,7,"307,80",-,"307,80","3.104,62",-,LIVOLTEK - VENDAS
9121290224,MP,MP07,"CABRNAX 90°C 1KV 16,0MM PRETO BB",MT,10102,7,"347,8",-,"347,8","3.475,74",-,LIVOLTEK - VENDAS
9121500218,RV,RV01,CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO,MT,10102,7,"10.016,00",-,"10.016,00","36.821,82",-,LIVOLTEK - VENDAS
9121500219,RV,RV01,CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO,MT,10102,7,"10.024,00",-,"10.024,00","36.851,23",-,LIVOLTEK - VENDAS
9192220334,MC,MR01,CABO DE ALUMINIO 185MM² COBERTO XLPE 15 KV CLASSE 2,MT,10102,7,80,-,80,"1.331,39",-,LIVOLTEK - VENDAS
9192220335,MC,MR01,CABO DE ALUMINIO 70 MM² COBERTO XLPE 15 KV CLASSE 2,MT,10102,7,46,-,46,"329,02",-,LIVOLTEK - VENDAS
9192220336,MC,MR01,"CABO DE COBRE FLEXIVEL 120MM² EPR OU XLPE CLASSE 5 0,6/1 KV",MT,10102,7,15,-,15,"1.443,30",-,LIVOLTEK - VENDAS
9192220337,MC,MR01,"CABO DE COBRE FLEXIVEL 25MM² EPR OU XLPE CLASSE 5 0,6/1 KV",MT,10102,7,78,-,78,"1.402,64",-,LIVOLTEK - VENDAS
9192220338,MC,MR01,CABO DE COBRE 35MM² EPR 8.7/15 KV CLASSE 2,MT,10102,7,47,-,47,"5.228,80",-,LIVOLTEK - VENDAS
9192220339,MC,MR01,"CABO DE COBRE FLEXIVEL 16MM² EPR OU XLPE CLASSE 5 0,6/1 KV",MT,10102,7,40,-,40,"1.008,31",-,LIVOLTEK - VENDAS
3090515080,MP,PT01,CABO ESPECIAL DE COMUNICACAO ENTRE BATERIA E INVERSOR,PC,10102,7,100,-,100,"573,59",-,LIVOLTEK - VENDAS
3111508050,MP,EM07,SEPARADOR EM EPE 970×340×250 MM PARA PROTECAO INTERNA DE EQUIPAMENTOS DURANTE TRANSPORTE,PC,10102,72,"20,00",-,"20,00","2.409,41",-,INSPECAO QUALIDADE
3111508070,MP,EM07,SEPARADOR EM EPE 970×340×260 MM PARA PROTECAO INTERNA DE EQUIPAMENTOS DURANTE TRANSPORTE.,PC,10102,72,20,-,20,"2.554,61",-,INSPECAO QUALIDADE
525030101001,RV,RV01,ACESSORIO CARREGADOR VEICULAR | CC | MC | GERENCIADOR DE CABOS TIPO HASTE POR MOLA | LIVOLTEK | 40/60KW,PC,10102,7,40,-,40,"25.496,97",-,LIVOLTEK - VENDAS
525030103001,RV,RV01,ACESSORIO CARREGADOR VEICULAR | CC | MC | ABRACADEIRA DO GERENCIADOR DE CABOS POR MOLA | LIVOLTEK | 40/60KW,PC,10102,7,40,-,40,"952,22",-,LIVOLTEK - VENDAS
9120450500,MP,MP04,TAMPA P/ CONECTOR DE PASSAGEM 4-10MM CZ,PC,10102,7,240,-,240,"324,00",-,LIVOLTEK - VENDAS
9120670122,MP,MP08,CONECTOR EMENDA 3 POLOS 6MM,PC,10102,7,"2.089,00",-,"2.089,00","9.032,84",-,LIVOLTEK - VENDAS
9120670123,MP,MP08,CONECTOR EMENDA 5 POLOS 6MM,PC,10102,7,211,-,211,"1.247,16",-,LIVOLTEK - VENDAS
9120670125,MP,MP07,BORNE PUSH-IN 6MM² 3P COR CINZA 40A,PC,10102,7,500,-,500,"1.476,70",-,LIVOLTEK - VENDAS
9120690106,MP,MP04,ABRACADEIRA PLASTICA NYLON 300 MM X 8 MM BRANCA,PC,10102,7,400,-,400,"280,4",-,LIVOLTEK - VENDAS
9120694040,MP,MP07,MINIDISJUNTOR UNIPOLAR 3KA CURVA C 20A,PC,10102,7,"212,00",-,"212,00","1.280,40",-,LIVOLTEK - VENDAS
9120694041,MP,MP07,MINIDISJUNTOR UNIPOLAR 3KA CURVA C 10A,PC,10102,7,616,-,616,"3.705,98",-,LIVOLTEK - VENDAS
9120694042,MP,MP07,DISJUNTOR BIPOLAR SDD62C40 3KA 40A,PC,10102,7,"100,00",-,"100,00","2.564,23",-,LIVOLTEK - VENDAS
9120694043,MP,MP07,DISJUNTOR BIPOLAR SD62 CURVA C 3KA 63A,PC,10102,7,100,-,100,"3.781,01",-,LIVOLTEK - VENDAS
9120694044,MP,MP07,DISJUNTOR MONO SDD61C20 3KA 20A,PC,10102,7,100,-,100,"592,42",-,LIVOLTEK - VENDAS
9120901014,MP,MP08,POSTE FINAL BORNE K SKEW35,PC,10102,7,"1.056,00",-,"1.056,00","1.322,32",-,LIVOLTEK - VENDAS
9121260606,MP,MP03,"TERMINAL TUBULAR ILHOS DUPLO 2,5MM",PC,10102,7,627,-,627,"182,27",-,LIVOLTEK - VENDAS
9121260608,MP,MP03,TERM.ILH TUB.LJ DPL.ISO. CT-3709 4MM,PC,10102,7,"1.511,00",-,"1.511,00","994,69",-,LIVOLTEK - VENDAS
9121260610,MP,MP03,TERMINAL COMPRESSAO M.MAGNET (6306) 16MM,PC,10102,7,250,-,250,"315,80",-,LIVOLTEK - VENDAS
9121260620,MP,MP03,"BARRAMENTO NEUTRO 06 TERM AZUL FIX 70, 0MM SBN6",PC,10102,7,"247,00",-,"247,00","2.857,89",-,LIVOLTEK - VENDAS
9121260621,MP,MP03,"BARRAMENTO TERRA 06 TERM VERDE FIX 70, 0MM SBT6",PC,10102,7,245,-,245,"3.083,47",-,LIVOLTEK - VENDAS
9121260622,MP,MP03,BARRAMENTO TIPO ALCA COM 8 PARAFUSOS M + 2 PARAFUSO M8,PC,10102,7,"31,00",-,"31,00","254,43",-,LIVOLTEK - VENDAS
9121290235,MP,MP08,LAMPADA DE LED 9W MODELO BULBO COM ROSCA E27 6500K BIVOLT,PC,10102,7,"242,00",-,"242,00","665,04",-,LIVOLTEK - VENDAS
9121290240,MP,MP07,QUADRO DE DISTRIBUICAO EM PVC DE CIRCUITO ELETRICO DO TIPO SOBREPOR PARA ATE 4 DISJUNTORES COM TRILHO DIN,PC,10102,7,193,-,193,"4.462,10",-,LIVOLTEK - VENDAS
9121290242,MP,MP07,CAIXA PVC RETANGULAR AM 4 X 2,PC,10102,7,"1.240,00",-,"1.240,00","1.226,11",-,LIVOLTEK - VENDAS
9121290243,MP,MP07,PLAFON SOBREPOR PVC NA COR BRANCO COM SOQUETE ROSCA E27,PC,10102,7,"183,00",-,"183,00","542,85",-,LIVOLTEK - VENDAS
9121290244,MP,MP07,PLACA CEGA 4X2 C/ SUPORTE CANOA,PC,10102,7,"1.248,00",-,"1.248,00","3.354,87",-,LIVOLTEK - VENDAS
9121290281,MP,MP07,ABRACADEIRA PARA CABO PP,PC,10102,7,"3.914,00",-,"3.914,00","2.552,32",-,LIVOLTEK - VENDAS
9121290290,MP,MP07,"HASTE TERRA S/ROS.BR.IH-858 5/8' X 2,4 0 MTS",PC,10102,7,59,-,59,"2.350,30",-,LIVOLTEK - VENDAS
9121290315,MP,MP07,CAIXA PVC OCTAGONAL PASSAGEM PARA TETO (SIGFI) - CAIXA DE LUZ OCTOFONAL 4X4 AMARELA (SIGFI),PC,10102,7,887,-,887,"2.300,70",-,LIVOLTEK - VENDAS
2010500032,MP,MP08,RESISTOR 150R 5% 300PPM 3W 5.5*15MM (R12027-L) PTH (100) (2010500032),UN,10102,1,"420.000,00",-,"420.000,00","42.798,00",-,ARMAZEM PADRAO
2011100163,MP,MP08,VARISTOR 680V 6000A -40~+85°C 0J 560V VERTICAL 2 420V 10% 448PF PTH (2011100163),UN,10102,1,"58.000,00",-,"58.000,00","13.595,20",-,ARMAZEM PADRAO
2020300102,MP,MP08,CAPACITOR ELETROLITICO 470µF 25V 20% WH 2000H RAD-5MM/F10*13MM (2020300102) PTH,UN,10102,1,"51.000,00",-,"51.000,00","7.711,20",-,ARMAZEM PADRAO
2020300152,MP,MP08,CAPACITOR ELETROLITICO 470UF 10V 20% GH 5000H RAD-2.5MM/F6.3*12MM PTH (2020300152),UN,10102,1,"14.000,00",-,"14.000,00","1.185,80",-,ARMAZEM PADRAO
