TOP,HEXING,Coluna6,Saldo Estoque,Coluna20,Coluna21
100978,100978,"Bateria de Alta Tensão, modelo Lovoltek, tipo lítio com BMS, capacidade 45kWh",2,"R$ 20.390,02","R$ 10.195,01"
103354,103354,"CAIXA DE ALUMINIO PARA BATERIA DE LITIO HV 15kWh 307,2V BHF-S15",1,"R$ 7.095,25","R$ 7.095,25"
105990,BLF-B5150,Carregador para bateria BLF-B5150,4,"R$ 596,16","R$ 149,04"
105589,A0070230E1EHR11002,"CARREGADOR VE LIVOLTEK CA ACE 7,3KW 220VAC CABO 5M BLUETOOTH WI-FI(FC41D) ETHERNET CABO TIPO 2",540,"R$ 848.816,93","R$ 1.571,88"
108190,M18010E2EYFIR11003,"Carregador veicular LIVOLTEK, MotionFast180KW, 150-1000Vdc,IEC Standard,CCS2/5M/300A/CCS2/5M/300A,",2,"R$ 207.909,67","R$ 103.954,84"
105005,BHF-B51100R11101,CONTROLADOR BMS PARA BATERIA DE LITIO BHF-B51100R11101 (DUMMY),4,"R$ 2.844,60","R$ 711,15"
105383,3061901200,Estrutura de aço galvanizado pintado de preto inferior 465*425*166.5 30619-GT110KT2-02 (3061901200),1,"R$ 443,71","R$ 443,71"
100801,100801,Estrutura metálica para telhado cerâmico,445,"R$ 141.114,05","R$ 317,11"
95918,GT1-6KD1,Inversor fotovoltaico modelo GT1-6KD1,2,"R$ 5.065,63","R$ 2.532,82"
106170,GT1 4-6 KW,INVERSOR GT1 4-6 KW 220/230/240V IEC with Wi-Fi/ SPD II/CT/AC APS,65,"R$ 1.214.238,29","R$ 1.484,40"
106171,7-10KW,INVERSOR GT1 7-10KW 220/230/240V IEC with Wi-Fi/ SPD II/CT/AC APS,838,"R$ 76.213,69","R$ 5.080,91"
105396,GT1-10KT2R11004,INVERSOR ON-GRID MONOFÁSICO 10KW 220V 3MPPT GT1-10KT2R11004,0,"R$ 181.451,69","R$ 5.184,33"
104937,GT1-5KD2R11008,INVERSOR ON-GRID MONOFÁSICO 5kW 220V 2 MPPT GT1-5KD2R11008,0,"R$ 79.365,22","R$ 1.117,82"
104938,GT1-6KD2R11008,INVERSOR ON-GRID MONOFÁSICO 6kW 220V 2 MPPT GT1-6KD2R11008,0,"R$ 248.969,86","R$ 1.627,25"
105420,GT1-7K5T2R11002,"INVERSOR ON-GRID MONOFÁSICO 7,5KW 220V 3MPPT GT1-7K5T2R11002",0,"R$ 238.380,59","R$ 4.767,61"
105604,GT1-8KT2R11004,INVERSOR ON-GRID MONOFÁSICO 8KW 220V 3MPPT GT1-8KT2R11004,8,"R$ 37.073,29","R$ 4.634,16"
105649,GT3-15KD1R11008,INVERSOR ON-GRID TRIFÁSICO 15kW 380V 2 MPPT GT3-15KD1R11008,26,"R$ 784.104,66","R$ 5.765,48"
104926,GT3-20KD1R11008,INVERSOR ON-GRID TRIFÁSICO 20kW 380V 2 MPPT GT3-20KD1R11008,0,"R$ 451.524,86","R$ 6.185,27"
105652,GT3-25KD1R11008,INVERSOR ON-GRID TRIFÁSICO 25kW 380V 2 MPPT GT3-25KD1R11008,0,"R$ 236.642,54","R$ 5.916,06"
100981,EDP003l,"Motor de Popa, (Model: EDP003l, 3.0 kW 3.0 kW, DC 36~60 V, Dimensões (LXBXH): 423mmX288.5mmX1140mm",3,"R$ 30.660,63","R$ 10.220,21"
104926M,GT3-20KD1R11008,Matéria-Prima - GT3-20KD1R11008,334,,
105652M,GT3-25KD1R11008,Matéria-Prima - GT3-25KD1R11008,220,,
105649M,GT3-15KD1R11008,Matéria-Prima - GT3-15KD1R11008,306,,
106170M,GT1 4-6 KW,Matéria-Prima - GT1 4-6 KW,119,,
105589M,A0070230E1EHR11002,Matéria-Prima - A0070230E1EHR11002,1000,,
