CODIGO;DESCRICAO;CODIGO TOP MANAGER;CATEGORIA;FAMILIA;NOMENCLATURA;;;;;;;;
TSR21004;CABINE TSR21004 CABINE DE SECCIONAMENTO 1000A 380 400V;;;DIVERSOS;CABINE TSR21004 CABINE DE SECCIONAMENTO 1000A 380 400V;;;;;;;;
SWC-G1R11001;PLACA ELETRONICA PARA CONTROLE E COMUTACAO AUTOMATICA ATS SWC-G1R11001;;;DIVERSOS;PLACA ELETRONICA PARA CONTROLE E COMUTACAO AUTOMATICA ATS SWC-G1R11001;;;;;;;;
SMI-48150A1F1;BATERIA DE LITIO SUNWODA 150AH SMI-48150A1F1;;PRODUTO;BATERIA;SMI-48150A1F1;;;;;;;;
RS6-555M-E3;MODULO SOLAR FOTOVOLTAICO RENESOLA 555WP P-TYPE MONOFACIAL (RS6- 555M-E3;;PRODUTO;KIT SOLAR - PLACA SOLAR;MODULO SOLAR FOTOVOLTAICO RENESOLA 555WP P-TYPE MONOFACIAL (RS6- 555M-E3;;;;;;;;
RS560S8-144;MODULO SOLAR FOTOVOLTAICO RUNDA 560WP P-TYPE MONOFACIAL (RS560S8-144);;PRODUTO;PLACA SOLAR;;;;;;;;;
QNM182-HS555-72;MODULO SOLAR QNM182-HS555-72;;PRODUTO;KIT SOLAR - PLACA SOLAR;MODULO SOLAR QNM182-HS555-72;;;;;;;;
PSD300R51001;MODULO DE COMUNICACAO (DONGLE) WI-SUN P/ INVER. LIVOLTEK,INTERFACE;;;;;;;;;;;;
PSD300R21001;MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS PSD300R21001.;;;DIVERSOS - MODULO DE COMUNICACAO;PSD300R21001.;;;;;;;;
PSD200R21001;MODULO WLAN - WIFI + BLUETOOTH, 2.4GHZ 802.11B/G/N. TENSAO DE FUNCIONAMENTO 5V - (PSD200-F1);;;DIVERSOS - MODULO DE COMUNICACAO;MODULO WLAN - WIFI + BLUETOOTH, 2.4GHZ 802.11B/G/N. TENSAO DE FUNCIONAMENTO 5V - (PSD200-F1;;;;;;;;
PSD1000R11001;MODULO DE COMUNICACAO PARA TRANSMISSAO E RECEPCAO DE DADOS EM REDES SEM FIO (WLAN) PSD1000R11001;;;DIVERSOS - MODULO DE COMUNICACAO;PSD1000R11001;;;;;;;;
PCS-125KG1R21001;CONVERSOR 125KW 125KW 380VCA IP66 EFICIENCIA ATE 99% OPERACAO -30°C A 60°C;;;DIVERSOS;CONVERSOR 125KW 125KW 380VCA IP66 EFICIENCIA ATE 99% OPERACAO -30°C A 60°C;;;;;;;;
MXNTL4ANW53NNS3BESUN;RADIO 330-406MHZ FREQ.LICENCIADA, TX DE TRANSM.ATE 100MBIT/S, (WIFI) GE, MCR (MXNTL4ANW53NNS3BESUNN);;;;;;;;;;;;
