Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
9120121410;MP;MP03;CINTA PARA FIXACAO DO AP, KIT SUPRENS;KT;010108;30; 90,000 ; -   ; 90,000 ; 7.524,79 ; -   ;PROJETO COPEL FASE 2
9120121410;MP;MP03;CINTA PARA FIXACAO DO AP, KIT SUPRENS;KT;010108;31; 142,000 ; -   ; 142,000 ; 7.881,01 ; -   ;PROJETO COPEL FASE 1
3042303700;MP;MP03;TRILHO DIN 35MM PERFURADO;MT;010108;28; 30,000 ; -   ; 30,000 ; 95,85 ; -   ;CDS PROJECTS ENERGY
8010300790;MP;MP09;CABO SOLAR 1,8 KV CC PRETO;MT;010108;28; 1.300,000 ; -   ; 1.300,000 ; 3.549,26 ; -   ;CDS PROJECTS ENERGY
9110241601;RV;RV01;FITA DE ACO - LISA 1/2 FUSIMEC;MT;010108;28; 155,000 ; -   ; 155,000 ; 169,57 ; -   ;CDS PROJECTS ENERGY
9110241601;RV;RV01;FITA DE ACO - LISA 1/2 FUSIMEC;MT;010108;30; 425,000 ; -   ; 425,000 ; 740,61 ; -   ;PROJETO COPEL FASE 2
9110241601;RV;RV01;FITA DE ACO - LISA 1/2 FUSIMEC;MT;010108;32; 840,000 ; -   ; 840,000 ; 1.526,70 ; -   ;PROJETO CELESC
9110714100;MP;MP03;CABO FLEXIVEL 1,5MM² - CLASSE TEMP 70° - VERMELHO;MT;010108;31; 1.100,000 ; -   ; 1.100,000 ; 1.458,71 ; -   ;PROJETO COPEL FASE 1
9110714103;MP;MP03;CABO FLEXIVEL 1,5MM² - CLASSE TEMP 70° - AZUL;MT;010108;31; 400,000 ; -   ; 400,000 ; 530,44 ; -   ;PROJETO COPEL FASE 1
9111530000;MP;MP05;CABO COBRE 35 MM² 1KV NA COR PRETO;MT;010108;28; 16,200 ; -   ; 16,200 ; 427,50 ; -   ;CDS PROJECTS ENERGY
9111530001;MP;MP05;CABO COBRE 35 MM² 1KV NA COR VERMELHO;MT;010108;28; 16,200 ; -   ; 16,200 ; 428,04 ; -   ;CDS PROJECTS ENERGY
9111620200;RV;RV01;FITA ISOLANTE ALTA FUSAO;MT;010108;28; 18,000 ; -   ; 18,000 ; 151,86 ; -   ;CDS PROJECTS ENERGY
9111620200;RV;RV01;FITA ISOLANTE ALTA FUSAO;MT;010108;30; 400,000 ; -   ; 400,000 ; 819,52 ; -   ;PROJETO COPEL FASE 2
9111620200;RV;RV01;FITA ISOLANTE ALTA FUSAO;MT;010108;31; 610,000 ; -   ; 610,000 ; 4.739,70 ; -   ;PROJETO COPEL FASE 1
9111620200;RV;RV01;FITA ISOLANTE ALTA FUSAO;MT;010108;32; 20,000 ; -   ; 20,000 ; 399,41 ; -   ;PROJETO CELESC
9120690502;RV;RV01;CABO COBRE COBERTO XLPE 90G 15KV 1X 16,00 MM2 CINZA;MT;010108;30; 120,000 ; -   ; 120,000 ; 3.375,90 ; -   ;PROJETO COPEL FASE 2
9120690508;RV;RV01;ADAPTADOR ESTRIBO PARAFUSO PARA CABO DE CU NU 16-50 MM²;MT;010108;30; 20,000 ; -   ; 20,000 ; 2.112,22 ; -   ;PROJETO COPEL FASE 2
9120690508;RV;RV01;ADAPTADOR ESTRIBO PARAFUSO PARA CABO DE CU NU 16-50 MM²;MT;010108;31; 100,000 ; -   ; 100,000 ; 9.295,00 ; -   ;PROJETO COPEL FASE 1
