TOP;HEXING;Coluna3;Coluna4;Coluna5;Coluna6;Coluna7;Coluna8;Coluna9;Coluna10;Coluna11;Coluna12;Saldo Estoque
108243; GT3-60KQ1R11002;;;;Inversor GT3-60KQ1R11002 - Trifásico On Grid -  60KW, 380/400Vac,  4MPPT IEC, com WIFI/AFCI.;;2;Un;;16;12;4
105589;A0070230E1EHR11002;;;;CARREGADOR VE LIVOLTEK CA ACE 7,3KW 220VAC CABO 5M BLUETOOTH WI-FI(FC41D) ETHERNET CABO TIPO 2;;2;Un;;2137;1336;801
106171;GT1- 7-10KW;;;;INVERSOR GT1 7-10KW 220/230/240V IEC with Wi-Fi/ SPD II/CT/AC APS;;2;Un;;2793;2188;605
95918;GT1-6KD1R11001;;;;Inversor fotovoltaico modelo GT1-6KD1;;2;Un;;2;;2
109100;GT1-6KD2R11008;;;;INVERSOR FOTOVOLTAICO, INVERSOR ON-GRID MONOFASICO 6KW 220V 2 MPPT GT1-6KD2R11008;;2;Un;;1;;1
108590;GT1-7K5T2R11002;;;;Inversores para sistemas fotovoltaicos. (GT1-7K5T2R11002);;2;Un;;144;;144
95930;GT1-8KT1;;;;Inversor fotovoltaico modelo GT1-8KT1;;2;Un;;7;;7
105604;GT1-8KT2R11004;;;;INVERSOR ON-GRID MONOFÁSICO 8KW 220V 3MPPT GT1-8KT2R11004;;2;Un;;202;199;3
104885;GT3 -100K-1;;;;INVERSOR ON-GRID TRIFASICO GT3 -100K-1 380V AFCI;;2;Un;;40;30;10
104886;GT3 -110K-1;;;;INVERSOR ON-GRID TRIFASICO GT3 -110K-1 380V AFCI;;2;Un;;17;;17
104886;GT3 -110K-1;;;;INVERSOR ON-GRID TRIFASICO GT3 -110K-1 380V AFCI;;2;Un;;32;24;8
104887;GT3 -125K-1;;;;INVERSOR ON-GRID TRIFASICO GT3 -125K-1 380V AFCI;;2;Un;;75;;75
104887;GT3 -125K-1;;;;INVERSOR ON-GRID TRIFASICO GT3 -125K-1 380V AFCI;;2;Un;;16;12;4
108257;GT3-100K-1R11002;;;;Inversor GT3-100K-1R11002 - Trifásico On Grid - 100kW,  380Vac, IEC, com Wi-Fi/AFCI.;;2;Un;;16;;16
104108;GT3-15KD1R11008;;;;Inversores para sistemas fotovoltaicos. (GT3-15KD1R11008);;2;Un;;82;78;4
108236;GT3-15KDL1R11002;;;;Inversor GT3-15KDL1R11002 - Trifásico On Grid - 15kW, 220Vca.;;2;Un;;48;;48
108237;GT3-15KDL1R11002;;;;Inversor GT3-20KDL1R11002 - Trifásico On Grid - 20kW, 127/220Vca.;;2;Un;;84;63;21
108236;GT3-15KDL1R11002;;;;Inversor GT3-15KDL1R11002 - Trifásico On Grid - 15kW, 220Vca.;;2;Un;;80;60;20
108586;GT3-15KTL1;;;;INVERSOR TRIFASICO 220V ON-GRID GT3-15KTL1 AFCI;;2;Un;;3;;3
95919;GT3-20KD1;;;;Inversor fotovoltaico modelo GT3-20KD1;;2;Un;;8;;8
109099;GT3-20KD1R11006;;;;INVERSORES PARA SISTEMAS FOTOVOLTAICOS (GT3-20KD1R11006);;2;Un;;28;;28
104109;GT3-20KD1R11008;;;;Inversores para sistemas fotovoltaicos. (GT3-20KD1R11008);;2;Un;;103;45;58
108539;GT3-20KTL1;;;;INVERSOR TRIFASICO 220V ON-GRID GT3-20KTL1 AFCI;;2;Un;;18;;18
108588;GT3-25KD1R11006;;;;INVERSORES PARA SISTEMAS FOTOVOLTAICOS (GT3-25KD1R11006);;2;Un;;40;;40
103945;GT3-25KD1R11008;;;;Inversores para sistemas fotovoltaicos. (GT3-25KD1R11008);;2;Un;;75;35;40
108238;GT3-25KDL1R11002;;;;Inversor GT3-25KDL1R11002 - Trifásico On Grid - 25kW, 127/220Vca.;;2;Un;;40;30;10
108234;GT3-30KD1R11002;;;;Inversor GT3-30KD1R11002 - Trifásico On Grid - 30kW, 220/380Vca, 230/400Vca e/ou 240/415Vac.;;2;Un;;20;17;3
108234;GT3-30KD1R11002;;;;Inversor GT3-30KD1R11002 - Trifásico On Grid - 30kW, 220/380Vca, 230/400Vca e/ou 240/415Vac.;;2;Un;;2;;2
109101;GT3-30KQL1R11002;;;;INVERSOR ON-GRID TRIFASICO 30KW - GT3-30KQL1R11002;;2;Un;;2;;2
109096;GT3-30KT1R11002;;;;INVERSOR FOTOVOLTAICO, INVERSOR ON-GRID TRIFASICO 30KW 380V 3 MPPT GT3-30KT1R11002;;2;Un;;20;;20
108239;GT3-30KTL1R11002;;;;Inversor GT3-30KTL1R11002 - Trifásico On Grid - 30kW, 220Vca.;;2;Un;;24;18;6
109095;GT3-37K5Q;;;;INVERSOR TRIFASICO 380V ON-GRID GT3-37K5Q AFCI;;2;Un;;71;;71
108250;GT3-37K5T1R11002;;;;Inversor GT3-37K5T1R11002 - Trifásico On Grid - 37,5 kW, 380/400Vca.;;2;Un;;71;;71
108250;GT3-37K5T1R11002;;;;Inversor GT3-37K5T1R11002 - Trifásico On Grid - 37,5 kW, 380/400Vca.;;2;Un;;8;6;2
108251;GT3-50KL11R11002;;;;Inversor GT3-50KL11R11002 - Trifásico On Grid - 50kW, 220/240 Vca.;;2;Un;;158;;158
108251;GT3-50KL11R11002;;;;Inversor GT3-50KL11R11002 - Trifásico On Grid - 50kW, 220/240 Vca.;;2;Un;;26;24;2
