Parametros;
Pergunta;Resposta
Pergunta 01 : Aglutina por ?;Armazem
Pergunta 02 : Da filial ?;010102
Pergunta 03 : Ate a filial ?;010102
Pergunta 04 : Do Armazem ?;01
Pergunta 05 : Ate Armazem ?;90
Pergunta 06 : Do Produto ?;
Pergunta 07 : Ate Poduto ?;zzzzzzzzzzz
Pergunta 08 : Do tipo ?;
Pergunta 09 : Ate tipo ?;ZZ
Pergunta 10 : Do grupo ?;
Pergunta 11 : Ate grupo ?;ZZ
Pergunta 12 : Da Descricao ?;
Pergunta 13 : Ate Descricao ?;ZZ
Pergunta 14 : Codigo Item De ?;
Pergunta 15 : Codigo Item Ate ?;zz
Pergunta 16 : Imprime produtos ?;Ambos
Pergunta 17 : Saldo Do Prod a Considerar ?;Atual
Pergunta 18 : Qual Moeda ?;1a moeda
Pergunta 19 : Aglutina por UM ?;sim
Pergunta 20 : Listar Pords C/ Saldo Zerado ?;nao
Pergunta 21 : Imprimir o Valor ?;Custo
Pergunta 22 : Data Referencia ?;20/12/2024
Pergunta 23 : Listar Prods C/ Valor Zerado ?;sim
Pergunta 24 : QTDE. na 2a. U.M. ?;nao
Pergunta 25 : Imprime descricao do Armazem ?;sim
