Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
3042303700;MP;MP03;TRILHO DIN 35MM PERFURADO;MT;010102;07; 370,000 ; -   ; 370,000 ; 1.893,14 ; -   ;LIVOLTEK - VENDAS
8010300790;MP;MP09;CABO SOLAR 1,8 KV CC PRETO;MT;010102;07; 1.640,000 ; -   ; 1.640,000 ; 4.241,04 ; -   ;LIVOLTEK - VENDAS
9120821321;MP;MP03;ELETRODUTO SUBTERRANEO CORRUGADO FLEXIVEL 1 POLEGADA;MT;010102;07; 6,000 ; -   ; 6,000 ; 12,62 ; -   ;LIVOLTEK - VENDAS
9121260800;MP;MP07;CABO FLEXIVEL CL4 1KV HEPR 90°C VEIAS COLOR. PT 3 X 2,5MM;MT;010102;07; 6.993,000 ; 97,000 ; 6.896,000 ; 39.264,30 ; 544,64 ;LIVOLTEK - VENDAS
9121260801;MP;MP07;CABO FLEXIVEL 1KV SIL PT 3 X 4MM;MT;010102;07; 4.531,000 ; -   ; 4.531,000 ; 40.000,12 ; -   ;LIVOLTEK - VENDAS
9121290202;MP;MP07;CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR PRETO;MT;010102;07; 15,000 ; -   ; 15,000 ; 50,96 ; -   ;LIVOLTEK - VENDAS
9121290203;MP;MP07;CABO SOLAR 4MM² ISOLACAO 1,8KVCC 90°C - COR VERMELHO;MT;010102;07; 15,000 ; -   ; 15,000 ; 50,96 ; -   ;LIVOLTEK - VENDAS
9121290220;MP;MP07;CABRNAX 90°C 1KV 4,0MM AZUL BB;MT;010102;07; 1.674,000 ; -   ; 1.674,000 ; 4.456,02 ; -   ;LIVOLTEK - VENDAS
9121290221;MP;MP07;CABRNAX 90°C 1KV 4,0MM PRETO BB;MT;010102;07; 667,000 ; -   ; 667,000 ; 1.809,44 ; -   ;LIVOLTEK - VENDAS
9121290222;MP;MP07;CABO COBRE 1 X 6MM² ISOLACAO 1 KV 90°C - COR VERDE COM AMARELO;MT;010102;07; 3,000 ; -   ; 3,000 ; 16,24 ; -   ;LIVOLTEK - VENDAS
9121290223;MP;MP07;CABRNAX 90°C 1KV 16,0MM VERMELHO BB;MT;010102;07; 223,800 ; -   ; 223,800 ; 2.257,36 ; -   ;LIVOLTEK - VENDAS
9121290224;MP;MP07;CABRNAX 90°C 1KV 16,0MM PRETO BB;MT;010102;07; 263,800 ; -   ; 263,800 ; 2.636,29 ; -   ;LIVOLTEK - VENDAS
9121500218;RV;RV01;CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO;MT;010102;07; 8.566,000 ; -   ; 8.566,000 ; 31.491,19 ; -   ;LIVOLTEK - VENDAS
9121500219;RV;RV01;CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO;MT;010102;07; 8.574,000 ; -   ; 8.574,000 ; 31.520,60 ; -   ;LIVOLTEK - VENDAS
9192220334;MC;MR01;CABO DE ALUMINIO 185MM² COBERTO XLPE 15 KV CLASSE 2;MT;010102;07; 80,000 ; -   ; 80,000 ; 1.331,39 ; -   ;LIVOLTEK - VENDAS
9192220335;MC;MR01;CABO DE ALUMINIO 70 MM² COBERTO XLPE 15 KV CLASSE 2;MT;010102;07; 46,000 ; -   ; 46,000 ; 329,02 ; -   ;LIVOLTEK - VENDAS
9192220336;MC;MR01;CABO DE COBRE FLEXIVEL 120MM² EPR OU XLPE CLASSE 5 0,6/1 KV;MT;010102;07; 15,000 ; -   ; 15,000 ; 1.443,30 ; -   ;LIVOLTEK - VENDAS
9192220337;MC;MR01;CABO DE COBRE FLEXIVEL 25MM² EPR OU XLPE CLASSE 5 0,6/1 KV;MT;010102;07; 78,000 ; -   ; 78,000 ; 1.402,64 ; -   ;LIVOLTEK - VENDAS
9192220338;MC;MR01;CABO DE COBRE 35MM² EPR 8.7/15 KV CLASSE 2;MT;010102;07; 47,000 ; -   ; 47,000 ; 5.228,80 ; -   ;LIVOLTEK - VENDAS
9192220339;MC;MR01;CABO DE COBRE FLEXIVEL 16MM² EPR OU XLPE CLASSE 5 0,6/1 KV;MT;010102;07; 38,000 ; -   ; 38,000 ; 957,89 ; -   ;LIVOLTEK - VENDAS
3090515080;MP;PT01;CABO ESPECIAL DE COMUNICACAO ENTRE BATERIA E INVERSOR;PC;010102;07; 100,000 ; -   ; 100,000 ; 573,59 ; -   ;LIVOLTEK - VENDAS
