Saldos em Estoque;;;;;;;;;;;;
CODIGO;TP;GRUPO;DESCRICAO;U.M.;FL;ARMZ;SALDO EM ESTOQUE;EMPENHO PARA REQ/PV/RESERVA;ESTOQUE DISPONIVEL;VALOR EM ESTOQUE;VALOR EMPENHADO;DESCRICAO DO ARMAZEM
9121500218;RV;RV01;CABO FOTOVOLTAICO VERMELHO: 6MM2 COOPER + ESTANHADO;MT;010106;07; 1.552,000 ; 50,000 ; 1.502,000 ; 5.592,94 ; 180,18 ;LIVOLTEK - VENDAS
9121500219;RV;RV01;CABO FOTOVOLTAICO PRETO: 6MM2 COOPER + ESTANHADO;MT;010106;07; 1.027,000 ; 50,000 ; 977,000 ; 3.691,55 ; 179,72 ;LIVOLTEK - VENDAS
2020100110;MP;MP08;CAPACITOR 33NF  10% 50V X7R 0603 (C02002) SMT (4000) (2020100110);UN;010106;01; 4.000,001 ; -   ; 4.000,001 ; 23,60 ; -   ;ARMAZEM PADRAO
2020100760;MP;MP08;CAPACITOR 680PF 5% 50V NPO 0603 (C02047)SMT (2020100760);UN;010106;01; 3.999,995 ; -   ; 3.999,995 ; 35,20 ; -   ;ARMAZEM PADRAO
2020100910;MP;MP08;CAPACITOR 1NF  5% 50V NPO 0805 (C03032) (2020100910) SMT;UN;010106;01; 4.000,002 ; -   ; 4.000,002 ; 18,80 ; -   ;ARMAZEM PADRAO
2020302561;MP;MP08;CAPACITOR ELETROLITICO 470µF 25V 20% YXJ 10000H RAD-5MM/10*12.5MM PTH (2020302561);UN;010106;01; 499,995 ; -   ; 499,995 ; 65,30 ; -   ;ARMAZEM PADRAO
2040301013;MP;MP08;"OPTICAL COUPLER 50MA,300~450LF=5MAVCE=5V/200~400LF=2MAVCE=5V,80V,1.4V,5000V SO4 (2040301013)SMT""";UN;010106;01; 5.999,995 ; -   ; 5.999,995 ; 724,20 ; -   ;ARMAZEM PADRAO
2060100092;MP;MP08;DIODO RETIFICADOR 1.1V 1000V 1A SMA-W (A01013-1) SMT (5000) (2060100092);UN;010106;01; 7.500,002 ; -   ; 7.500,002 ; 320,25 ; -   ;ARMAZEM PADRAO
2060300050;MP;MP08;DIODO TVS 6V,600W SMB DO-214AA (A01721) SMT (2060300050);UN;010106;01; 3.000,005 ; -   ; 3.000,005 ; 366,30 ; -   ;ARMAZEM PADRAO
2061500080;MP;MP08;DIODO DE RECUPERACAO RAPIDA 0.95V 1.0A 200V 35NS 5UA SMA SMT (2061500080);UN;010106;01; 7.500,005 ; -   ; 7.500,005 ; 570,00 ; -   ;ARMAZEM PADRAO
2061500120;MP;MP08;DIODO DE RECUPERACAO RAPIDA 1.3V 400.0V 1.0A 35.0NS 5.0µA 2.83*5.28MM SMA SMT (2061500120);UN;010106;01; 5.000,002 ; -   ; 5.000,002 ; 277,00 ; -   ;ARMAZEM PADRAO
2061500130;MP;MP08;DIODO DE RECUPERACAO RAPIDA 2.0V 2.0A 400V 35NS 5UA SMB SMT (2061500130);UN;010106;01; 6.000,002 ; -   ; 6.000,002 ; 546,60 ; -   ;ARMAZEM PADRAO
2062100020;MP;MP08;TRANSISTOR MOSFET NMOS 900V 4A 4.2R TO-220 PTH (2062100020);UN;010106;01; 499,996 ; -   ; 499,996 ; 1.671,29 ; -   ;ARMAZEM PADRAO
2160100240L;MP;MP08;CARREGADOR ECH10051 DE 250W PARA BATERIAS DE LITIO;UN;010106;07; 20,000 ; -   ; 20,000 ; 3.529,24 ; -   ;LIVOLTEK - VENDAS
3012103830;MP;MP08;TERMINAL ELETRICO MC4 FEMEA;UN;010106;07; 987,000 ; -   ; 987,000 ; 1.855,95 ; -   ;LIVOLTEK - VENDAS
3012103860;MP;MP08;CONECTOR MC4 MACHO;UN;010106;07; 987,000 ; -   ; 987,000 ; 1.308,76 ; -   ;LIVOLTEK - VENDAS
3012103890;MP;MP08;CONECTOR MC4 FEMEA;UN;010106;07; 987,000 ; -   ; 987,000 ; 917,32 ; -   ;LIVOLTEK - VENDAS
3012103900;MP;MP08;TERMINAL ELETRICO MC4 MACHO;UN;010106;07; 987,000 ; -   ; 987,000 ; 1.320,90 ; -   ;LIVOLTEK - VENDAS
3028100149;MP;MP03;ALCA DE AJUSTE PLASTICA PARA CONJUNTO DE PROPULSAO;UN;010106;07; 20,000 ; -   ; 20,000 ; 97,61 ; -   ;LIVOLTEK - VENDAS
3028100290;MP;MP03;CONE DE NARIZ DE PLASTICO PARA PROPULSOR DE MOTOR DE BARCO;UN;010106;07; 5,000 ; -   ; 5,000 ; 65,20 ; -   ;LIVOLTEK - VENDAS
3028100310;MP;MP03;HELICE DE PLASTICO PARA MOTOR DE BARCO;UN;010106;07; 42,000 ; -   ; 42,000 ; 1.345,64 ; -   ;LIVOLTEK - VENDAS
3028100409;MP;MP03;PLACA DE PRESSAO ESTANQUE PLASTICA PARA CONJUNTO DE PROPULSAO;UN;010106;07; 4,000 ; -   ; 4,000 ; 14,22 ; -   ;LIVOLTEK - VENDAS
3030101750;MP;MP03;PARAFUSO SEXTAVADO M5X10 ACO INOX (3030101750);UN;010106;07; 35,000 ; -   ; 35,000 ; 3,24 ; -   ;LIVOLTEK - VENDAS
3030903110;MP;MP03;PORCA AUTO-TRAVANTE DE ACO CARBONO COM ACABAMENTO ZINCADO TRIVALENTE;UN;010106;07; 12,000 ; -   ; 12,000 ; 1,75 ; -   ;LIVOLTEK - VENDAS
3031702570;MP;MP03;PINO CILINDRICO ROSCADO DE ACO CARBONO COM ACABAMENTO ZINCADO TRIVALENTE;UN;010106;07; 4,000 ; -   ; 4,000 ; 8,13 ; -   ;LIVOLTEK - VENDAS
3032702420;MP;MP03;PARAFUSO M6X20MM DE ACO CARBONO COM ACABAMENTO ZINCADO TRIVALENTE;UN;010106;07; 12,000 ; -   ; 12,000 ; 4,25 ; -   ;LIVOLTEK - VENDAS
3043500390;MP;MP03;BLOCO ANTICORROSAO METALICO DA HELICE DO PROPULSOR;UN;010106;07; 6,000 ; -   ; 6,000 ; 135,87 ; -   ;LIVOLTEK - VENDAS
3043500400;MP;MP03;BRACADEIRA METALICA DA HELICE DO PROPULSOR;UN;010106;07; 6,000 ; -   ; 6,000 ; 100,06 ; -   ;LIVOLTEK - VENDAS
3061901880;MP;MP03;HELICE MEDIA METALICA PARA PROPULSOR DE MOTOR DE BARCO;UN;010106;07; 6,000 ; -   ; 6,000 ; 231,97 ; -   ;LIVOLTEK - VENDAS
3061901900;MP;MP03;CONE DE NARIZ METALICO PARA PROPULSOR DE MOTOR DE BARCO;UN;010106;07; 2,000 ; -   ; 2,000 ; 37,59 ; -   ;LIVOLTEK - VENDAS
