ID;Product;Quantily;Obs
Nacional-Topmanger;A0070230E1EHR11002;867;
Nacional-Topmanger;GT1 7-10KW;605;Apto para customizar GT1-7K5/8K/10K
Importado-TOTVS;GT1-10KT2R11003;23;
Importado-Topmanger;GT3-20KDL1R11002;21;
Importado-Topmanger;LHE34DRR11001;21;
Importado-Topmanger;GT3-75K-11R11002;20;
Importado-Topmanger;GT3-75K-11R11002;20;
Importado-TOTVS;GT3-25KL-TW11001;18;
Importado-TOTVS;GT3-20KL-TW11001;14;
Importado-Topmanger;GT3 -100K-1 380V AFCI;10;
Importado-Topmanger;GT3-25KDL1R11002;10;
Importado-Topmanger;GT3 -100K-1 380V AFCI;10;
Importado-TOTVS;GT3-75KL11R11002;9;
Importado-TOTVS;GT3-20KTL1R11002;8;
Importado-TOTVS;GT3-60KL11R11002;8;
Importado-TOTVS;A0070230E11R11302;8;
Importado-Topmanger; LHE12DR;6;
Importado-Topmanger;GT3-30KTL1R11002;6;
Importado-TOTVS;GT1-10KT2R11004;6;
Importado-TOTVS;GT3-15KD1R11008;6;
Importado-TOTVS;GT1-6KD1R11001;6;
Importado-TOTVS;A0070230E1EHR11002;5;
Importado-TOTVS;GT3-110K-1R11002;5;
Importado-TOTVS;GT3-125K-1R11002;5;
Importado-Topmanger; BHF-B51100R11101;4;
Importado-Topmanger;GT3 -125K-1 380V AFCI;4;
Importado-Topmanger;GT3-50KQ1R11002;4;
Importado-Topmanger;GT3-50KQ1R11002;4;
Importado-Topmanger;GT3-50KQ1R11002;4;
Importado-Topmanger;LHE34DR;4;
Importado-TOTVS;BLF-B5150R11001;4;
Importado-Topmanger;GT3-30KD1R11002;3;
Importado-TOTVS;GT3-100K-1R11002;3;
Nacional-Topmanger;GT3-15KD1R11008;3;
Nacional-Topmanger;GT3-15KD1R11008;3;
Importado-Topmanger;M18010E2EYFIR11003;2;Carregador veicular LIVOLTEK, MotionFast180KW
Importado-TOTVS;GT3-50KL11R11002;2;
Nacional-Topmanger;GT3-37K5T1R11002;2;
Importado-TOTVS;GT1-7K5T2R11002;1;
Importado-TOTVS;AC1-AIOR11001;1;
Importado-TOTVS;GT1-5KD1R11001;0;
Importado-TOTVS;GT1-5KD2R11008;0;
Importado-TOTVS;GT1-6KD2R11008;0;
Nacional-Topmanger;GT1-10KT2R11004;0;
Nacional-Topmanger;GT1-7K5T2R11002;0;
Nacional-Topmanger;GT1-8KT2R11004;0;
Nacional-Topmanger;GT1-8KT2R11004;0;
Nacional-Topmanger;GT1-6KD2R11008;0;
Nacional-Topmanger;GT1-5KD2R11008;0;
Nacional-Topmanger;GT3-20KD1R11008;0;
